Opinion Metric;Emotion Metric;Time Metric;Rules Triggered Metric
0.43127423906178286;0.6;3.1013433063209654;0.0
0.0;0.5384615384615384;3.581006261426596;0.23076923076923078
0.4385697790650924;0.875;3.40088333625014;0.0
0.37647104740685067;0.7333333333333333;3.676326871577878;0.0
0.3787442162634558;0.3333333333333333;2.978259024758622;0.0
0.427257936078138;0.6;3.305903988039543;0.0
0.5365587889661065;0.75;2.9339345671654122;0.0
0.43121875126730747;0.6666666666666666;2.3462741286065607;0.0
0.39874268466817975;0.6875;3.7373419995688817;0.0
0.0;1;3.142920736332407;0.0
0.3645386098215449;0.875;2.8961215886630787;0.0
0.4754756328967877;0.6;2.828854966053552;0.0
0.4743802642286567;0.6666666666666666;3.1653278012158594;0.0
0.49982783888689236;0.8333333333333334;2.9042469652715477;0.0
0.4239549055760553;1;2.0;0.0
